SKU,product_name,store,positive_rate,positive_count,neutral_count,negative_count,negative_review_1,negative_review_2,negative_review_3,negative_review_4,negative_review_5
10090856414152,超级马 3C认证【顶配80000M丨可上飞机】超级马快充大容量充电宝自带线移动电源适用于苹果小米20000毫安 尊享:50000M+超级快充+提速500% 【全国当日次日达】拍顶配80000M｜升级终,超级马官方旗舰店,99%,20000,70,100,虚假广告，根本充不到几次就没电了,八万容量 最多充电五次？ 实物 比图片厚三倍,此用户未填写评价内容,产品质量有问题。坏的发给我换了一次还是坏的。退款还得自己付运费。😁😁,买来还没用就坏的…退货还麻烦，注意辨别吧，还是得买牌子的
100047622232,remax睿量22.5W超级快充20000毫安充电宝移动电源可上飞机PD20W双向快充适用苹果16Pro小米华为荣耀手机,睿量（REMAX）京东自营旗舰店,98%,20000,200,200,不太好用，充电快充充不上,此用户未及时填写评价内容,不能给关机的手机充电,才没几天，充电就不行了,用几次就冲不进去电了
10129004694713,炫威达【80000M丨可上飞机】充电宝超大容量超级快充自带线移动电源适用华为苹果小米40000以上20000毫安 旗舰版50000M【电芯升级】自带线提速666,炫威达旗舰店,100%,1000,0,0,,,,,
100063803015,CUKTECH酷态科15号电能柱20000毫安时充电宝多口150W大功率单口120W/100W快充LED数显适用小米/笔记本,CUKTECH酷态科京东自营旗舰店,98%,20000,200,200,买来就是坏的接口不好使,买了没几天就掉价那么多,此用户未及时填写评价内容,说是笔记本支持100w结果就是最高支持到100w,买了两个，最近这个买了8天降了80，真棒
100172187106,倍思卡片磁吸充电宝Magsafe无线27W快充移动电源10000mAh星原钛苹果16/15/14/13华为小米手机户外电源,倍思（Baseus）京东自营旗舰店,97%,5000,92,100,没用多久就充不进电了！,充了十分钟就充了百分之一哈哈哈😂,容量虚标 小米15充50%就没电了,充几分钟后机子和手机都在发烫,四边刮手 充电发热 烂货
100066290036,绿联磁吸充电宝兼容MagSafe无线10000毫安20W快充外接电池可上飞机移动电源适用苹果16/15/华为/小米,绿联（UGREEN）京东自营旗舰店,97%,20000,500,500,为什么别人买的是299我的却是四百多我找客服没人理我,蓄电容量：买贵了 噱头而已 不大好,没有电源怎么充电 客服不理人 买的时候没说明清楚,此用户未填写评价内容,到手是个坏的，不能给手机手表充电。
100109593258,ANKER安克【京东独家】自带双线充电宝20000毫安mAh超大容量30W快充移动电源可上飞机安卓苹果手机黑,Anker京东自营旗舰店,98%,5000,65,92,没有送货上门也没提前告知,typec那条线有问题，重，物流很快,**** 第一次充电就充不进去电了 这质量差也是服了,乐，苹果专用的充电宝，结果苹果那根线充不进电，typec的线倒是没问题，牛的牛的,换了两个充电宝了，每个苹果充电口都是用一段时间就坏
10058663112762,IMEV【20000M】苹果磁吸充电宝Magsafe无线快充iPhone16/15/14/13/12promax外接电池移动电源便携小巧 【智能版型号20000m】一贴即充双向快充不伤机,IMEV官方旗舰店,99%,10000,100,100,假冒伪劣不再值得信任了京东,冲一会就发烫 手机充电宝都是烫的,买的两万毫安的但是却还没有倍思一万毫安的耐用,不知道是不是别人退的，盒子是脏的，充电一会行一会不行，客服也没说怎么着,蓄电容量：苹果手机只能充满一次。
10129866147676,闪科威【120W快充】充电宝20000毫安自带线可上飞机小巧便携大功率大容量超薄移动电源适用小米苹果华为 白色丨旗舰版丨国产电芯丨提速666% 10000毫安丨可上飞机丨智能控温丨自带四线,闪科威旗舰店,96%,5000,100,100,四千多容量的手机充不满两次,用特么一个月没用了，容量没有那么大,电量用的很快，而且充电速度很慢,不是华为的，与华为半毛钱关系没有，接口插线接触不良,没用几天就坏了，充不了电了，质量好差
100120245055,CUKTECH酷态科磁吸充电宝自带线MagSafe无线10000毫安22.5W快充电能块CP12适用小米iPhone苹果16/15手机,CUKTECH酷态科京东自营旗舰店,99%,50000,200,200,不值这个价格。不怎么好用，,呵呵 百分之16的电量瞬间掉到零,发错了货，包装里的数据线不对,刚买就掉价 价格保护不起作用,着急出行没想到买了个脏的
100135539621,小米（MI）小米磁吸自带线充电宝 10000 33W 白色 可上飞机 多彩便携 有线无线自在充电 iPhone安卓可用,小米京东自营旗舰店,97%,10000,100,100,误导消费，结果买来不能磁吸,"不耐脏。黑色没货。
京东拉胯。",第一次评价，不咋地，虚标,接触不良，充着充着就断电,用两天就变成这样了就放在家里没摔过
100121760530,荣耀亲选66W超级快充移动电源 20000mAh 双向快充 多协议支持 适用荣耀Magic7华为Mate70 超级快充私有协议,荣耀京东自营旗舰店,99%,10000,40,71,不支持快充体积也很大颜值也不好,质量不好，充两次就没电了,237元买个充电宝数据线不有20Cm想钱想疯了？,说是2万的实际是15000的，我感觉可能是发错了，卖家也不及时说话不知道啥情况,同时买的，我的是2024年10月产的，别人是11月12月的，为什么我买的晚库存还比别人早生产的
100061224749,品胜充电宝自带线 22.5W超级快充20000毫安大容量移动电源可上飞机 适用苹果16小米华为手机白,品胜京东自营旗舰店,97%,20000,200,500,还没用呢就便宜10元了，千万别买,说好的隔日达结果等了三天，做事那么慢,此用户未及时填写评价内容,用了几天自带线就充不了电了,用着用着中间口不能充电了。
100047464848,倍思磁吸充电宝Magsafe磁吸无线充30W快充移动电源10000mAh适用于苹果16/15/14/13华为小米安卓手机,倍思（Baseus）京东自营旗舰店,97%,20000,200,500,收到快递包装就是破损的,买完就降价，189降到153真会做生意,被人打开过，包装上还有指纹,此用户未及时填写评价内容,不要买，无线充电总是自己断
10129866147676,闪科威【120W快充】充电宝20000毫安自带线可上飞机小巧便携大功率大容量超薄移动电源适用小米苹果华为 白色丨旗舰版丨国产电芯丨提速666% 10000毫安丨可上飞机丨智能控温丨自带四线,闪科威旗舰店,96%,5000,100,100,四千多容量的手机充不满两次,用特么一个月没用了，容量没有那么大,电量用的很快，而且充电速度很慢,不是华为的，与华为半毛钱关系没有，接口插线接触不良,没用几天就坏了，充不了电了，质量好差
100075439621,罗马仕充电宝27000毫安时大容量65W大功率快充移动户外储能电源智能屏显 适用于苹果小米华为手机笔记本,罗马仕京东自营旗舰店,97%,200000,2000,2000,刚买第三天，今天灯不亮了,相比价格比较高些，质量用后追加评价,此用户未填写评价内容,不充电，换了根线一样，充电断续,货没收到，却显示收到货了
100125366365,ANKERzolo安克MFI认证旅行充电宝自带双线20000毫安mAh大容量移动电源30W快充可上飞机安卓苹果 蓝,Anker京东自营旗舰店,99%,5000,28,35,购买的2万毫安的充电宝，但是这个只冲了两次，电量就剩下35%，这个容量绝对是虚标的！,差评是给快递员的，态度差，不上门,用充电宝充电 手机发烫严重,本来是为了出差特地买的。结果根本无法充电，完全耽误事！,京东现在吃相真的越来越难看，第一天169买的，第二天降价129，然后说百亿补贴商品，不能价格保护，失望。
100149010326,ANKER 安克能量舱【东尼ookii推荐】165W充电宝超大容量自带伸缩线25000毫安100W快充移动电源可上飞机,Anker京东自营旗舰店,98%,2000,19,33,东西是好东西，各位买的越晚越划算1多天买亏了99，现在电子产品真廉价，买的越早亏得越多,不防水，不防摔，放包里自己就花了没有尖锐物品,用了一周就开始冒烟，室内空调房内充电，安全性能真不错,华为的设备，不建议买这个，太慢了,太重了，日常出行带着有点不方便。
100106099450,CUKTECH酷态科15号电能柱SE20000毫安时大容量充电宝单口65W快充多口100W大功率适用苹果小米笔记本等,CUKTECH酷态科京东自营旗舰店,98%,10000,100,100,屏幕里面胶没有除干净，品控有问题,此用户未及时填写评价内容,充完iphone屏幕失灵了,购物不用看☀️🌰，天天都是双十一,续航不太好使，充2次15就没电了
100016436144,华为原装12000毫安移动电源充电宝 双向66W超级快充 优质电芯 适用华为手机Pura 80系列/X5 白色,华为京东自营旗舰店,99%,50000,200,500,没啥暖用，被捆绑消费的,此用户未及时填写评价内容,质量不怎么样，不建议购买,我的充了一次就充不上电了！,送货后未通知买方，几天后通过京东app才知道已到货
100200931898,罗马仕（ROMOSS）55W自带线充电宝20000毫安时快充移动电源 可上飞机适用于苹果/小米/红米/华为/笔记本 奶杏色,罗马仕京东自营旗舰店,97%,20000,200,200,原配的数据线居然是坏的,客服给的连接，23点买，00点就降价20，还不告知有***,12小时充电26可以的,充电慢，说的有线，送来没有线,其他特色：充电中时不时停止充电
10144325775428,中诺 CHINOE充电宝20000毫安22.5W超级快充自带线大容量移动电源可上飞机适用苹果安卓华为手机 20000毫安自带三线22.5W快充+数显电量,中诺 CHINOE手机配件旗舰店,100%,500,0,0,,,,,
100105445930,绿联充电宝10000毫安22.5W快充 可上飞机大容量小巧迷你便携移动电源 适用苹果/小米/华为/OPPO/一加,绿联（UGREEN）京东自营旗舰店,99%,20000,100,100,充一次电就没什么电了,充一次手机就余下百分之二十几,充手机电不能快充，没有什么用,充电宝不咋地，充一次就没电了,这个月买的一下就降价20划不来
100200931926,倍思（Baseus）极客充【京东独家】充电宝20000毫安自带线145W大功率快充小巧移动电源可上飞机苹果华为电脑适用,倍思（Baseus）京东自营旗舰店,97%,1000,12,18,充电功率基本维持在10到20w之间，iqoo手机和小米平板都一样功率很小,冲着145w大功率买的 结果只有usb是超级快充其他都是快充 实在不知道145的意义？,说实话花了将近300这个东西蓄电能力一般。准备购买的兄弟姐们千万别踩雷了,千万不要买，到手后多次使用发现标识的剩余电量非常假！剩余百分之二十多的电量充不到两分钟就提示没电了！非常不耐充！又贵，买个几十元的充电宝都比这个好,充电速率不对，别被骗了，线说是100W，实际最高17W，而且还在时刻变动，用华为mate60和VIVO测试出来的，
100213757200,CUKTECH酷态科充电宝40W自带线CP24电能块20000毫安时移动电源快充可上飞机适用苹果16小米华为三星手机,CUKTECH酷态科京东自营旗舰店,98%,20000,100,100,深圳和广州地铁不给进,我竟然不知道说些什么，打开后是这个样子,有点小瑕疵 客服说可以退换货 懒得折腾 将就用吧,不能激活小米11快充。,买了几天 就降价，京东东西不要买
10102333929747,Zokd【国家3C认证丨20000M】MagSafe磁吸充电宝移动电源20W超级快充超薄迷你小巧便携无线适用苹果华为 【20000M】钛金色 【所有手机通用】可上飞机·20W双向快充,Zokd旗舰店,99%,10000,32,52,手感很好，颜色也特别好看,很轻，很时尚，很便捷,很薄，出门用超方便。,,
10129004694713,炫威达【80000M丨可上飞机】充电宝超大容量超级快充自带线移动电源适用华为苹果小米40000以上20000毫安 旗舰版50000M【电芯升级】自带线提速666,炫威达旗舰店,100%,1000,0,0,,,,,
100060192443,倍思充电宝20000毫安小巧自带线22.5W苹果安卓双线快充大容量移动电源便携可上飞机适用华为小米手机,倍思（Baseus）京东自营旗舰店,98%,10000,100,100,用过的，防尘膜都被人斯了,才用几天就充不起电了,充电慢一个多小时都充不满，,苹果13，充电接口松动，经常冲不上,苹果充电接口老是接触不好
100110785840,CUKTECH酷态科电能块自带线20000毫安时移动电源55W快充充电宝可上飞机适用苹果16三星小米笔记本电脑CP25,CUKTECH酷态科京东自营旗舰店,98%,10000,100,100,收到货就有这样黑色污渍还擦不来,刚买完就降了10块钱。不知道说什么好了。,刚买就降价，9折优惠券，没法价保,有微瑕，不是很能接受，用起来还不错,说vivo可以快充，结果不快充
10119956611544,威顿【66W超级快充丨国家3C认证】充电宝20000毫安适用小米移动电源大容量自带线户外可上飞机小巧便携 【皓月白】20000毫安+品牌电芯+快至当日达 2025年新款丨自带三快充线丨国家3C认证,得意影音娱乐专营店,99%,2000,0,3,充了几个小时还是1%垃圾充电宝，,,,,
10141253217046,充电宝20000毫安大容量超级快充自带线可上飞机移动电源适用小米 蓝-标准版【自带四线+普通快充】 【极速发货/次日达】可上飞机,米链手机数码配件工作室,99%,1000,1,0,,,,,
100133267851,CUKTECH酷态科10号超级电能棒Plus15000毫安时充电宝兼容120W/100W大功率快充支持笔记本/手机/小米/苹果,CUKTECH酷态科京东自营旗舰店,99%,5000,34,63,刚买了两天就百亿补贴降价了 还不能保价 心里不痛快,不好贴，还长了，也不粘边，真的服了,就这样包装？该说jd节省还是怎么了，隔壁友商平台买的酷态科自带线是有外包装的。,开箱损，接口是歪的。,充电宝容量虚标，而且价格还卖得贵，而且充电达不到120W.
10136859742730,犀狼【新国标3C认证 66W快充】充电宝20000毫安适用华为mate60/P70超大容量自带线可上飞机移动电源 【皓月白】66W超级快充+自带三线+温控芯片 【2025旗舰新品】顶配闪充芯片+提,犀狼得意专卖店,100%,200,0,0,,,,,
10060515593137,电沃达正品【120W超级快充丨顶配80000M】充电宝可上飞机20000毫安大容量移动电源适用于华为苹果小米等 尊享黑【超级快充+优质电芯】提速800% 20000M,电沃达旗舰店,96%,10000,200,200,充不了多少电就没有了,两万的只能充一次手机,陪伴这么多年，第一次退货😳😳😳,没收到货，已经差不多两个星期了物流还是没更新,用了两天，那个线就坏了
